step,duration,file,algorithm,run
decryption,0.001286,TheBrothersKaramazov,AES,3
encryption,0.002575,TheBrothersKaramazov,AES,4
decryption,0.001175,TheBrothersKaramazov,AES,4
encryption,0.002877,TheBrothersKaramazov,AES,5
decryption,0.001274,TheBrothersKaramazov,AES,5
encryption,0.003226,TheBrothersKaramazov,AES,6
decryption,0.001944,TheBrothersKaramazov,AES,6
encryption,0.002558,TheBrothersKaramazov,AES,7
decryption,0.001192,TheBrothersKaramazov,AES,7
encryption,0.00274,TheBrothersKaramazov,AES,8
decryption,0.001293,TheBrothersKaramazov,AES,8
encryption,0.003198,TheBrothersKaramazov,AES,9
decryption,0.001216,TheBrothersKaramazov,AES,9
encryption,0.002595,TheBrothersKaramazov,AES,10
decryption,0.002325,TheBrothersKaramazov,AES,10
